"wavelength","n","k"
301.418,2.689,0.440
303.014,2.681,0.430
304.610,2.680,0.422
306.206,2.682,0.415
307.803,2.684,0.407
309.399,2.686,0.400
310.995,2.688,0.392
312.592,2.690,0.384
314.188,2.692,0.376
315.785,2.694,0.367
317.381,2.697,0.359
318.977,2.699,0.350
320.574,2.701,0.341
322.171,2.703,0.332
323.767,2.705,0.323
325.364,2.708,0.314
326.960,2.710,0.304
328.557,2.712,0.294
330.154,2.715,0.283
331.750,2.717,0.272
333.347,2.720,0.261
334.944,2.723,0.248
336.541,2.725,0.235
338.137,2.728,0.221
339.734,2.731,0.205
341.331,2.734,0.188
342.928,2.736,0.167
344.525,2.735,0.143
346.122,2.729,0.115
347.719,2.713,0.086
349.316,2.689,0.065
350.913,2.662,0.060
352.510,2.649,0.057
354.107,2.637,0.051
355.704,2.624,0.044
357.301,2.611,0.039
358.898,2.598,0.034
360.495,2.587,0.031
362.092,2.575,0.028
363.689,2.565,0.025
365.286,2.555,0.023
366.883,2.546,0.021
368.481,2.537,0.020
370.078,2.529,0.018
371.675,2.521,0.016
373.272,2.513,0.015
374.869,2.506,0.014
376.467,2.499,0.012
378.064,2.492,0.011
379.661,2.485,0.010
381.258,2.479,0.009
382.856,2.472,0.008
384.453,2.466,0.007
386.050,2.460,0.006
387.648,2.454,0.006
389.245,2.449,0.005
390.842,2.443,0.004
392.440,2.438,0.004
394.037,2.432,0.003
395.634,2.427,0.003
397.232,2.422,0.003
398.829,2.417,0.003
400.427,2.412,0.002
402.024,2.408,0.002
403.622,2.404,0.002
405.219,2.399,0.002
406.816,2.395,0.002
408.414,2.391,0.002
410.011,2.387,0.002
411.609,2.383,0.002
413.206,2.380,0.002
414.804,2.376,0.002
416.401,2.373,0.002
417.999,2.369,0.002
419.596,2.366,0.002
421.194,2.363,0.002
422.791,2.359,0.002
424.389,2.356,0.002
425.986,2.353,0.002
427.584,2.350,0.002
429.181,2.347,0.002
430.779,2.344,0.002
432.376,2.341,0.001
433.974,2.339,0.001
435.571,2.336,0.001
437.169,2.333,0.001
438.766,2.330,0.001
440.364,2.328,0.001
441.961,2.325,0.001
443.559,2.323,0.001
445.156,2.320,0.001
446.754,2.318,0.001
448.351,2.316,0.001
449.949,2.313,0.001
451.546,2.311,0.001
453.144,2.309,0.001
454.741,2.307,0.001
456.339,2.304,0.001
457.936,2.302,0.001
459.533,2.300,0.001
461.131,2.298,0.001
462.728,2.296,0.001
464.326,2.294,0.001
465.923,2.292,0.001
467.521,2.290,0.001
469.118,2.288,0.001
470.716,2.286,0.001
472.313,2.284,0.001
473.910,2.283,0.001
475.508,2.281,0.001
477.105,2.279,0.001
478.703,2.277,0.001
480.300,2.275,0.001
481.897,2.274,0.001
483.495,2.272,0.001
485.092,2.270,0.001
486.689,2.269,0.001
488.287,2.267,0.001
489.884,2.266,0.001
491.481,2.264,0.001
493.078,2.262,0.001
494.676,2.261,0.001
496.273,2.259,0.001
497.870,2.258,0.001
499.467,2.256,0.001
501.065,2.255,0.001
502.662,2.254,0.001
504.259,2.252,0.001
505.856,2.251,0.001
507.453,2.249,0.001
509.050,2.248,0.001
510.648,2.247,0.001
512.245,2.245,0.001
513.842,2.244,0.001
515.439,2.243,0.001
517.036,2.241,0.001
518.633,2.240,0.001
520.230,2.239,0.001
521.827,2.238,0.001
523.424,2.236,0.001
525.021,2.235,0.001
526.618,2.234,0.001
528.215,2.233,0.001
529.812,2.232,0.001
531.408,2.231,0.001
533.005,2.229,0.001
534.602,2.228,0.001
536.199,2.227,0.000
537.796,2.226,0.000
539.392,2.225,0.000
540.989,2.224,0.000
542.586,2.223,0.000
544.182,2.222,0.000
545.779,2.221,0.000
547.376,2.220,0.000
548.972,2.219,0.000
550.569,2.218,0.000
552.165,2.217,0.000
553.762,2.216,0.000
555.358,2.215,0.000
556.955,2.214,0.000
558.551,2.213,0.000
560.148,2.212,0.000
561.744,2.211,0.000
563.340,2.210,0.000
564.937,2.209,0.000
566.533,2.208,0.000
568.129,2.207,0.000
569.726,2.206,0.000
571.322,2.206,0.000
572.918,2.205,0.000
574.514,2.204,0.000
576.110,2.203,0.000
577.706,2.202,0.000
579.302,2.201,0.000
580.898,2.200,0.000
582.494,2.200,0.000
584.090,2.199,0.000
585.686,2.198,0.000
587.282,2.197,0.000
588.878,2.196,0.000
590.474,2.196,0.000
592.069,2.195,0.000
593.665,2.194,0.000
595.261,2.193,0.000
596.857,2.193,0.000
598.452,2.192,0.000
600.048,2.191,0.000
601.643,2.190,0.000
603.239,2.190,0.000
604.834,2.189,0.000
606.430,2.188,0.000
608.025,2.188,0.000
609.620,2.187,0.000
611.216,2.186,0.000
612.811,2.186,0.000
614.406,2.185,0.000
616.001,2.184,0.000
617.597,2.184,0.000
619.192,2.183,0.000
620.787,2.182,0.000
622.382,2.182,0.000
623.977,2.181,0.000
625.572,2.180,0.000
627.167,2.180,0.000
628.761,2.179,0.000
630.356,2.179,0.000
631.951,2.178,0.000
633.546,2.177,0.000
635.140,2.177,0.000
636.735,2.176,0.000
638.329,2.176,0.000
639.924,2.175,0.000
641.519,2.174,0.000
643.113,2.174,0.000
644.707,2.173,0.000
646.302,2.173,0.000
647.896,2.172,0.000
649.490,2.172,0.000
651.084,2.171,0.000
652.679,2.170,0.000
654.273,2.170,0.000
655.867,2.169,0.000
657.461,2.169,0.000
659.055,2.168,0.000
660.649,2.168,0.000
662.242,2.167,0.000
663.836,2.167,0.000
665.430,2.166,0.000
667.024,2.166,0.000
668.617,2.165,0.000
670.211,2.165,0.000
671.804,2.164,0.000
673.398,2.164,0.000
674.991,2.163,0.000
676.584,2.163,0.000
678.178,2.162,0.000
679.771,2.162,0.000
681.364,2.161,0.000
682.957,2.161,0.000
684.550,2.160,0.000
686.143,2.160,0.000
687.736,2.159,0.000
689.329,2.159,0.000
690.922,2.158,0.000
692.515,2.158,0.000
694.108,2.158,0.000
695.700,2.157,0.000
697.293,2.157,0.000
698.885,2.156,0.000
700.478,2.156,0.000
702.070,2.155,0.000
703.663,2.155,0.000
705.255,2.155,0.000
706.847,2.154,0.000
708.439,2.154,0.000
710.031,2.153,0.000
711.623,2.153,0.000
713.215,2.153,0.000
714.807,2.152,0.000
716.399,2.152,0.000
717.991,2.151,0.000
719.583,2.151,0.000
721.174,2.151,0.000
722.766,2.150,0.000
724.358,2.150,0.000
725.949,2.149,0.000
727.540,2.149,0.000
729.132,2.149,0.000
730.723,2.148,0.000
732.314,2.148,0.000
733.905,2.148,0.000
735.496,2.147,0.000
737.087,2.147,0.000
738.678,2.146,0.000
740.269,2.146,0.000
741.860,2.146,0.000
743.451,2.145,0.000
745.041,2.145,0.000
746.632,2.145,0.000
748.222,2.144,0.000
749.813,2.144,0.000
751.403,2.144,0.000
752.993,2.143,0.000
754.583,2.143,0.000
756.174,2.143,0.000
757.764,2.142,0.000
759.354,2.142,0.000
760.944,2.142,0.000
762.533,2.141,0.000
764.123,2.141,0.000
765.713,2.141,0.000
767.302,2.140,0.000
768.892,2.140,0.000
770.481,2.140,0.000
772.071,2.139,0.000
773.660,2.139,0.000
775.249,2.139,0.000
776.838,2.139,0.000
778.427,2.138,0.000
780.016,2.138,0.000
781.605,2.138,0.000
783.194,2.137,0.000
784.783,2.137,0.000
786.371,2.137,0.000
787.960,2.136,0.000
789.548,2.136,0.000
791.137,2.136,0.000
792.725,2.136,0.000
794.314,2.135,0.000
795.902,2.135,0.000
797.490,2.135,0.000
799.078,2.134,0.000
800.666,2.134,0.000
802.253,2.134,0.000
803.841,2.134,0.000
805.429,2.133,0.000
807.016,2.133,0.000
808.604,2.133,0.000
810.191,2.133,0.000
811.779,2.132,0.000
813.366,2.132,0.000
814.953,2.132,0.000
816.540,2.132,0.000
818.127,2.131,0.000
819.714,2.131,0.000
821.301,2.131,0.000
822.887,2.131,0.000
824.474,2.130,0.000
826.061,2.130,0.000
827.647,2.130,0.000
829.233,2.130,0.000
830.820,2.129,0.000
832.406,2.129,0.000
833.992,2.129,0.000
835.578,2.129,0.000
837.164,2.128,0.000
838.749,2.128,0.000
840.335,2.128,0.000
841.921,2.128,0.000
843.506,2.127,0.000
845.092,2.127,0.000
846.677,2.127,0.000
848.262,2.127,0.000
849.847,2.127,0.000
851.432,2.126,0.000
853.017,2.126,0.000
854.602,2.126,0.000
856.187,2.126,0.000
857.772,2.125,0.000
859.356,2.125,0.000
860.941,2.125,0.000
862.525,2.125,0.000
864.109,2.125,0.000
865.693,2.124,0.000
867.277,2.124,0.000
868.861,2.124,0.000
870.445,2.124,0.000
872.029,2.123,0.000
873.613,2.123,0.000
875.196,2.123,0.000
876.780,2.123,0.000
878.363,2.123,0.000
879.946,2.122,0.000
881.529,2.122,0.000
883.112,2.122,0.000
884.695,2.122,0.000
886.278,2.122,0.000
887.861,2.121,0.000
889.444,2.121,0.000
891.026,2.121,0.000
892.608,2.121,0.000
894.191,2.121,0.000
895.773,2.120,0.000
897.355,2.120,0.000
898.937,2.120,0.000
900.519,2.120,0.000
902.101,2.120,0.000
903.682,2.120,0.000
905.264,2.119,0.000
906.845,2.119,0.000
908.427,2.119,0.000
910.008,2.119,0.000
911.589,2.119,0.000
913.170,2.118,0.000
914.751,2.118,0.000
916.332,2.118,0.000
917.913,2.118,0.000
919.493,2.118,0.000
921.074,2.118,0.000
922.654,2.117,0.000
924.234,2.117,0.000
925.814,2.117,0.000
927.394,2.117,0.000
928.974,2.117,0.000
930.554,2.117,0.000
932.134,2.116,0.000
933.713,2.116,0.000
935.293,2.116,0.000
936.872,2.116,0.000
938.451,2.116,0.000
940.030,2.116,0.000
941.609,2.115,0.000
943.188,2.115,0.000
944.767,2.115,0.000
946.345,2.115,0.000
947.924,2.115,0.000
949.502,2.115,0.000
951.080,2.114,0.000
952.659,2.114,0.000
954.237,2.114,0.000
955.815,2.114,0.000
957.392,2.114,0.000
958.970,2.114,0.000
960.548,2.113,0.000
962.125,2.113,0.000
963.702,2.113,0.000
965.279,2.113,0.000
966.856,2.113,0.000
968.433,2.113,0.000
970.010,2.113,0.000
971.587,2.112,0.000
973.163,2.112,0.000
974.740,2.112,0.000
976.316,2.112,0.000
977.892,2.112,0.000
979.468,2.112,0.000
981.044,2.112,0.000
982.620,2.111,0.000
984.196,2.111,0.000
985.771,2.111,0.000
987.347,2.111,0.000
988.922,2.111,0.000
990.497,2.111,0.000
992.072,2.111,0.000
993.647,2.110,0.000
995.222,2.110,0.000
996.797,2.110,0.000
998.371,2.110,0.000
999.946,2.110,0.000
1011.693,2.109,0.000
1015.112,2.109,0.000
1018.531,2.108,0.000
1021.951,2.108,0.000
1025.370,2.108,0.000
1028.789,2.108,0.000
1032.208,2.107,0.000
1035.627,2.107,0.000
1039.047,2.107,0.000
1042.466,2.107,0.000
1045.885,2.106,0.000
1049.304,2.106,0.000
1052.724,2.106,0.000
1056.143,2.105,0.000
1059.562,2.105,0.000
1062.982,2.105,0.000
1066.401,2.105,0.000
1069.820,2.105,0.000
1073.240,2.104,0.000
1076.659,2.104,0.000
1080.078,2.104,0.000
1083.498,2.104,0.000
1086.917,2.103,0.000
1090.337,2.103,0.000
1093.756,2.103,0.000
1097.176,2.103,0.000
1100.596,2.102,0.000
1104.015,2.102,0.000
1107.435,2.102,0.000
1110.854,2.102,0.000
1114.274,2.102,0.000
1117.694,2.101,0.000
1121.114,2.101,0.000
1124.533,2.101,0.000
1127.953,2.101,0.000
1131.373,2.101,0.000
1134.793,2.100,0.000
1138.213,2.100,0.000
1141.633,2.100,0.000
1145.054,2.100,0.000
1148.474,2.100,0.000
1151.894,2.100,0.000
1155.314,2.099,0.000
1158.735,2.099,0.000
1162.155,2.099,0.000
1165.576,2.099,0.000
1168.996,2.099,0.000
1172.417,2.098,0.000
1175.838,2.098,0.000
1179.258,2.098,0.000
1182.679,2.098,0.000
1186.100,2.098,0.000
1189.521,2.098,0.000
1192.942,2.097,0.000
1196.364,2.097,0.000
1199.785,2.097,0.000
1203.206,2.097,0.000
1206.628,2.097,0.000
1210.049,2.097,0.000
1213.471,2.096,0.000
1216.892,2.096,0.000
1220.314,2.096,0.000
1223.736,2.096,0.000
1227.158,2.096,0.000
1230.580,2.096,0.000
1234.002,2.095,0.000
1237.424,2.095,0.000
1240.847,2.095,0.000
1244.269,2.095,0.000
1247.692,2.095,0.000
1251.115,2.095,0.000
1254.537,2.095,0.000
1257.960,2.095,0.000
1261.383,2.094,0.000
1264.806,2.094,0.000
1268.230,2.094,0.000
1271.653,2.094,0.000
1275.076,2.094,0.000
1278.500,2.094,0.000
1281.924,2.094,0.000
1285.348,2.093,0.000
1288.772,2.093,0.000
1292.196,2.093,0.000
1295.620,2.093,0.000
1299.044,2.093,0.000
1302.469,2.093,0.000
1305.893,2.093,0.000
1309.318,2.092,0.000
1312.743,2.092,0.000
1316.168,2.092,0.000
1319.593,2.092,0.000
1323.018,2.092,0.000
1326.444,2.092,0.000
1329.870,2.092,0.000
1333.295,2.092,0.000
1336.721,2.091,0.000
1340.147,2.091,0.000
1343.574,2.091,0.000
1347.000,2.091,0.000
1350.426,2.091,0.000
1353.853,2.091,0.000
1357.280,2.091,0.000
1360.707,2.091,0.000
1364.134,2.091,0.000
1367.561,2.090,0.000
1370.989,2.090,0.000
1374.417,2.090,0.000
1377.844,2.090,0.000
1381.272,2.090,0.000
1384.700,2.090,0.000
1388.129,2.090,0.000
1391.557,2.090,0.000
1394.986,2.090,0.000
1398.415,2.089,0.000
1401.844,2.089,0.000
1405.273,2.089,0.000
1408.703,2.089,0.000
1412.132,2.089,0.000
1415.562,2.089,0.000
1418.992,2.089,0.000
1422.422,2.089,0.000
1425.853,2.089,0.000
1429.283,2.089,0.000
1432.714,2.088,0.000
1436.145,2.088,0.000
1439.576,2.088,0.000
1443.008,2.088,0.000
1446.439,2.088,0.000
1449.871,2.088,0.000
1453.303,2.088,0.000
1456.735,2.088,0.000
1460.168,2.088,0.000
1463.600,2.088,0.000
1467.033,2.088,0.000
1470.466,2.087,0.000
1473.899,2.087,0.000
1477.333,2.087,0.000
1480.766,2.087,0.000
1484.200,2.087,0.000
1487.635,2.087,0.000
1491.069,2.087,0.000
1494.503,2.087,0.000
1497.938,2.087,0.000
